company_name,job_title,salary,workplace
深圳市泽林软件技术有限公司,Python高级DevOps工程师,1.5-2.5万/月,深圳-南山区
鹏元征信有限公司,爬虫技术专家,3.5-6.5万/月,深圳
南京擎盾信息科技有限公司,Python开发工程师,1-1.5万/月,南京-雨花台区
北京华信智原教育技术有限公司福州分公司,爬虫数据工程师助理/不限基础,0.5-1万/月,福州-鼓楼区
浙江携职专修学院,爬虫开发工程师,0.6-1万/月,杭州-西湖区
上海北风教育培训有限公司,python开发/python讲师,1-1.5万/月,上海-浦东新区
北京敏捷艾科数据技术有限公司,Pathon爬虫开发工程师,0.6-1万/月,北京-朝阳区
杭州矛矛予科技有限公司,Python开发工程师,1.2-1.8万/月,杭州-滨江区
西安图迹信息科技有限公司,Python开发,6-8千/月,西安-高新技术...
阿基米德（上海）传媒有限公司,python高级大数据开发工程师,1.5-2万/月,上海-长宁区
上海讯实网络科技有限公司,Python爬虫工程师,1-1.5万/月,南京
北京中科模识科技有限公司,python爬虫工程师,0.8-1万/月,北京-昌平区
南京安讯科技有限责任公司,Python爬虫工程师,1-1.5万/月,南京
红上至信商务信息咨询（上海）有限公司,Python爬虫工程师,0.8-1.5万/月,西安-碑林区
杭州锐致商务咨询有限公司,python爬虫工程师,1.5-2万/月,北京-朝阳区
上海量锐信息科技有限公司,Python开发工程师,1.2-1.8万/月,上海-黄浦区
宁波海曙欧菲斯房产经纪有限公司,高级爬虫工程师,15-25万/年,杭州
上海莱蔻网络科技有限公司,高级爬虫工程师,1.5-2.5万/月,上海-徐汇区
武汉人民在线信息科技有限公司,网络爬虫研发工程师-逆向工程方向,0.8-1.5万/月,武汉
北京宏天信业信息技术股份有限公司上海分公司,Python开发工程师,1-2万/月,上海-浦东新区
河南智游臻龙教育科技有限公司,python运维工程师,0.8-1万/月,郑州
中科软科技股份有限公司,Python工程师（天津）,0.5-1万/月,天津-南开区
新奥集团股份有限公司,爬虫开发工程师,1.5-2万/月,北京-朝阳区
青岛联信商务咨询有限公司,,0.8-2万/月,青岛-市南区
携程旅行网IT技术区,爬虫工程师(J15885),2-2.5万/月,上海-长宁区
和元达信息科技有限公司,Python开发工程师,1.2-1.7万/月,异地招聘
北京卓思天成数据咨询股份有限公司,Python数据分析师,1.5-2.5万/月,北京-朝阳区
深圳法通科技有限公司,Python开发工程师,4-8千/月,深圳-龙华新区
云南微加经济信息咨询有限公司,Python开发工程师,6-8千/月,昆明
深圳市中安信业创业投资有限公司总部,爬虫工程师,1-2万/月,深圳-福田区
紫梧桐（北京）资产管理有限公司,Python高级开发工程师（爬虫）,1.5-3万/月,北京-东城区
遨游酒店信息技术（深圳）有限责任公司,Python爬虫工程师,0.8-1万/月,上海-徐汇区
深圳义合信达科技有限公司,Java开发工程师+python开发工程师+爬虫,1-1.5万/月,深圳-宝安区
江苏红网技术股份有限公司,python爬虫工程师,1-2万/月,南京
深圳市运维软件有限公司,( [ python爬虫开发工程师 ] ),4.5-6千/月,深圳-南山区
深圳前海橙色魔方信息技术有限公司,Python开发工程师,1.5-2万/月,杭州-滨江区
珠海世纪鼎利科技股份有限公司,Python讲师,2.5-3万/月,北京-海淀区
河南海融教育科技有限公司,人工智能+Python讲师,1.5-2万/月,郑州
武汉慧通远达信息技术有限公司,Python高级开发工程师,0.6-1.8万/月,武汉-江汉区
杭州筑龙信息技术股份有限公司,Python开发工程师,1.5-2万/月,杭州-滨江区
北京英视睿达科技有限公司,网络爬虫开发工程师,1-1.5万/月,北京-西城区
瓦力必达科技（北京）有限公司,Python开发工程师,1.2-2.2万/月,北京-朝阳区
成都博雅成信科技有限公司,中高级python开发工程师,0.8-1.5万/月,成都-高新区
杭州博尊信息技术有限公司,Python开发工程师,1.2-1.5万/月,杭州-下城区
奕诊（上海）医疗咨询有限公司,Python 开发,2.5-3万/月,上海-徐汇区
深圳市拓保软件有限公司,大数据开发-wl,0.8-1.5万/月,重庆
深圳市比邻互动网络科技有限公司,数据采集工程师/数据挖掘工程师(火车头）,0.8-1万/月,广州-海珠区
深圳市爱影互联文化传播有限公司,搜索引擎(文件搜索)工程师,0.8-1.5万/月,深圳-福田区
深圳爱琳国际品牌管理有限公司,PHP开发工程师（小程序）（高薪急聘）,0.8-1.5万/月,广州-海珠区
林同棪国际工程咨询（中国）有限公司,BIM大数据软件工程师,0.8-1万/月,重庆
石家庄新华电脑学校,Python讲师,6-8千/月,石家庄
北京千锋互联科技有限公司,python讲师,2-3万/月,广州-天河区
徐州易豪思房地产经纪有限公司,克而瑞爬虫工程师,0.6-1万/月,徐州
四川智信九鼎科学技术评估有限公司,Python数据工程师,5-8千/月,成都-高新区
上海优克锡企业管理顾问有限公司,资深爬虫工程师,2-3.5万/月,济南-市中区
苏州金智渠信息技术有限公司,爬虫开发工程师,0.6-1.5万/月,苏州-工业园区
广州一一网络技术有限公司,Python 后端开发工程师,1-1.8万/月,广州-天河区
